symbol,security_id,exchange
SUNPHARMA-Sep2025-FUT,53839,NSE
SUPREMEIND-Sep2025-FUT,53840,NSE
SYNGENE-Sep2025-FUT,53851,NSE
TATACHEM-Sep2025-FUT,53852,NSE
TATACONSUM-Sep2025-FUT,53867,NSE
TATAELXSI-Sep2025-FUT,53868,NSE
TATAMOTORS-Sep2025-FUT,53869,NSE
TATAPOWER-Sep2025-FUT,53877,NSE
TATASTEEL-Sep2025-FUT,53883,NSE
TATATECH-Sep2025-FUT,53891,NSE
TCS-Sep2025-FUT,53892,NSE
TECHM-Sep2025-FUT,53896,NSE
TIINDIA-Sep2025-FUT,53899,NSE
TITAGARH-Sep2025-FUT,53900,NSE
TITAN-Sep2025-FUT,53901,NSE
TORNTPHARM-Sep2025-FUT,53902,NSE
TORNTPOWER-Sep2025-FUT,53906,NSE
TRENT-Sep2025-FUT,53909,NSE
TVSMOTOR-Sep2025-FUT,53911,NSE
ULTRACEMCO-Sep2025-FUT,53912,NSE
UNIONBANK-Sep2025-FUT,53913,NSE
UNITDSPR-Sep2025-FUT,53914,NSE
UNOMINDA-Sep2025-FUT,53915,NSE
UPL-Sep2025-FUT,53918,NSE
VBL-Sep2025-FUT,53919,NSE
VEDL-Sep2025-FUT,53921,NSE
VOLTAS-Sep2025-FUT,53923,NSE
WIPRO-Sep2025-FUT,53924,NSE
YESBANK-Sep2025-FUT,53925,NSE
ZYDUSLIFE-Sep2025-FUT,53926,NSE
BANKNIFTY-Aug2025-FUT,64100,NSE
FINNIFTY-Aug2025-FUT,64101,NSE
MIDCPNIFTY-Aug2025-FUT,64102,NSE
NIFTY-Aug2025-FUT,64103,NSE
NIFTYNXT50-Aug2025-FUT,64104,NSE
ABB-Aug2025-FUT,64105,NSE
ABCAPITAL-Aug2025-FUT,64106,NSE
ABFRL-Aug2025-FUT,64107,NSE
ADANIENSOL-Aug2025-FUT,64108,NSE
ADANIENT-Aug2025-FUT,64109,NSE
ADANIGREEN-Aug2025-FUT,64110,NSE
ADANIPORTS-Aug2025-FUT,64111,NSE
ALKEM-Aug2025-FUT,64112,NSE
AMBUJACEM-Aug2025-FUT,64113,NSE
ANGELONE-Aug2025-FUT,64114,NSE
APLAPOLLO-Aug2025-FUT,64115,NSE
APOLLOHOSP-Aug2025-FUT,64116,NSE
ASHOKLEY-Aug2025-FUT,64117,NSE
ASIANPAINT-Aug2025-FUT,64118,NSE
ASTRAL-Aug2025-FUT,64119,NSE
ATGL-Aug2025-FUT,64120,NSE
AUBANK-Aug2025-FUT,64121,NSE
AUROPHARMA-Aug2025-FUT,64206,NSE
AXISBANK-Aug2025-FUT,64207,NSE
BAJAJ-AUTO-Aug2025-FUT,64217,NSE
BAJAJFINSV-Aug2025-FUT,64219,NSE
BAJFINANCE-Aug2025-FUT,64220,NSE
BANDHANBNK-Aug2025-FUT,64221,NSE
BANKBARODA-Aug2025-FUT,64222,NSE
BANKINDIA-Aug2025-FUT,64223,NSE
BDL-Jul2025-FUT,64225,NSE
BDL-Aug2025-FUT,64226,NSE
BEL-Aug2025-FUT,64227,NSE
BHARATFORG-Aug2025-FUT,64228,NSE
BHARTIARTL-Aug2025-FUT,64229,NSE
BHEL-Aug2025-FUT,64230,NSE
BIOCON-Aug2025-FUT,64231,NSE
BLUESTARCO-Jul2025-FUT,64233,NSE
BLUESTARCO-Aug2025-FUT,64248,NSE
BOSCHLTD-Aug2025-FUT,64249,NSE
BPCL-Aug2025-FUT,64372,NSE
BRITANNIA-Aug2025-FUT,64373,NSE
BSE-Aug2025-FUT,64378,NSE
CAMS-Aug2025-FUT,64379,NSE
CANBK-Aug2025-FUT,64380,NSE
CDSL-Aug2025-FUT,64381,NSE
CESC-Aug2025-FUT,64382,NSE
CGPOWER-Aug2025-FUT,64383,NSE
CHOLAFIN-Aug2025-FUT,64387,NSE
CIPLA-Aug2025-FUT,64388,NSE
COALINDIA-Aug2025-FUT,64390,NSE
COFORGE-Aug2025-FUT,64391,NSE
COLPAL-Aug2025-FUT,64392,NSE
CONCOR-Aug2025-FUT,64393,NSE
CROMPTON-Aug2025-FUT,64394,NSE
CUMMINSIND-Aug2025-FUT,64395,NSE
CYIENT-Aug2025-FUT,64396,NSE
DABUR-Aug2025-FUT,64397,NSE
DALBHARAT-Aug2025-FUT,64398,NSE
DELHIVERY-Aug2025-FUT,64399,NSE
DIVISLAB-Aug2025-FUT,64400,NSE
DIXON-Aug2025-FUT,64401,NSE
DLF-Aug2025-FUT,64402,NSE
DMART-Aug2025-FUT,64403,NSE
DRREDDY-Aug2025-FUT,64404,NSE
EICHERMOT-Aug2025-FUT,64405,NSE
ETERNAL-Aug2025-FUT,64407,NSE
EXIDEIND-Aug2025-FUT,64409,NSE
FEDERALBNK-Aug2025-FUT,64410,NSE
FORTIS-Jul2025-FUT,64412,NSE
FORTIS-Aug2025-FUT,64413,NSE
GAIL-Aug2025-FUT,64414,NSE
GLENMARK-Aug2025-FUT,64415,NSE
GMRAIRPORT-Aug2025-FUT,64416,NSE
GODREJCP-Aug2025-FUT,64417,NSE
GODREJPROP-Aug2025-FUT,64418,NSE
GRANULES-Aug2025-FUT,64419,NSE
GRASIM-Aug2025-FUT,64420,NSE
HAL-Aug2025-FUT,64421,NSE
HAVELLS-Aug2025-FUT,64422,NSE
HCLTECH-Aug2025-FUT,64423,NSE
HDFCAMC-Aug2025-FUT,64424,NSE
HDFCBANK-Aug2025-FUT,64425,NSE
HDFCLIFE-Aug2025-FUT,64426,NSE
HEROMOTOCO-Aug2025-FUT,64427,NSE
HFCL-Aug2025-FUT,64428,NSE
HINDALCO-Aug2025-FUT,64429,NSE
HINDPETRO-Aug2025-FUT,64430,NSE
HINDUNILVR-Aug2025-FUT,64431,NSE
HINDZINC-Aug2025-FUT,64432,NSE
HUDCO-Aug2025-FUT,64433,NSE
ICICIBANK-Aug2025-FUT,64434,NSE
ICICIGI-Aug2025-FUT,64435,NSE
ICICIPRULI-Aug2025-FUT,64436,NSE
IDEA-Aug2025-FUT,64437,NSE
IDFCFIRSTB-Aug2025-FUT,64438,NSE
IEX-Aug2025-FUT,64439,NSE
IGL-Aug2025-FUT,64440,NSE
IIFL-Aug2025-FUT,64441,NSE
INDHOTEL-Aug2025-FUT,64442,NSE
INDIANB-Aug2025-FUT,64443,NSE
INDIGO-Aug2025-FUT,64451,NSE
INDUSINDBK-Aug2025-FUT,64452,NSE
INDUSTOWER-Aug2025-FUT,64453,NSE
INFY-Aug2025-FUT,64454,NSE
INOXWIND-Aug2025-FUT,64456,NSE
IOC-Aug2025-FUT,64457,NSE
IRB-Aug2025-FUT,64547,NSE
IRCTC-Aug2025-FUT,64548,NSE
IREDA-Aug2025-FUT,64613,NSE
IRFC-Aug2025-FUT,64614,NSE
ITC-Aug2025-FUT,64615,NSE
JINDALSTEL-Aug2025-FUT,64616,NSE
JIOFIN-Aug2025-FUT,64617,NSE
JSL-Aug2025-FUT,64618,NSE
JSWENERGY-Aug2025-FUT,64619,NSE
JSWSTEEL-Aug2025-FUT,64620,NSE
JUBLFOOD-Aug2025-FUT,64621,NSE
KALYANKJIL-Aug2025-FUT,64622,NSE
KAYNES-Jul2025-FUT,64624,NSE
KAYNES-Aug2025-FUT,64625,NSE
KEI-Aug2025-FUT,64626,NSE
KOTAKBANK-Aug2025-FUT,64627,NSE
KPITTECH-Aug2025-FUT,64628,NSE
LAURUSLABS-Aug2025-FUT,64629,NSE
LICHSGFIN-Aug2025-FUT,64630,NSE
LICI-Aug2025-FUT,64631,NSE
LODHA-Aug2025-FUT,64632,NSE
LT-Aug2025-FUT,64633,NSE
LTF-Aug2025-FUT,64634,NSE
LTIM-Aug2025-FUT,64635,NSE
LUPIN-Aug2025-FUT,64636,NSE
M&M-Aug2025-FUT,64637,NSE
MANAPPURAM-Aug2025-FUT,64897,NSE
MANKIND-Jul2025-FUT,64901,NSE
MANKIND-Aug2025-FUT,64902,NSE
MARICO-Aug2025-FUT,64903,NSE
MARUTI-Aug2025-FUT,64904,NSE
MAXHEALTH-Aug2025-FUT,64905,NSE
MAZDOCK-Jul2025-FUT,64907,NSE
MAZDOCK-Aug2025-FUT,64908,NSE
MCX-Aug2025-FUT,64938,NSE
MFSL-Aug2025-FUT,64939,NSE
MOTHERSON-Aug2025-FUT,64942,NSE
MPHASIS-Aug2025-FUT,64943,NSE
MUTHOOTFIN-Aug2025-FUT,64944,NSE
NATIONALUM-Aug2025-FUT,64949,NSE
NAUKRI-Aug2025-FUT,64950,NSE
